2020-12-16 13:00:35 |INFO  |restartedMain |StartupInfoLogger.java:55 |com.atguigu.guli.service.edu.ServiceEduApplication |Starting ServiceEduApplication on LAPTOP-MEI9QPII with PID 14840 (E:\deve_data\idea_data\workspace_idea\gulionline\guli-parent\service\service-edu\target\classes started by 19799 in E:\deve_data\idea_data\workspace_idea\gulionline\guli-parent)
2020-12-16 13:00:35 |INFO  |restartedMain |SpringApplication.java:655 |com.atguigu.guli.service.edu.ServiceEduApplication |The following profiles are active: dev
2020-12-16 13:00:35 |INFO  |restartedMain |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-12-16 13:00:35 |INFO  |restartedMain |TomcatWebServer.java:92 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8110 (http)
2020-12-16 13:00:35 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2020-12-16 13:00:35 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.27]
2020-12-16 13:00:35 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2020-12-16 13:00:35 |INFO  |restartedMain |ServletWebServerApplicationContext.java:284 |org.springframework.web.context.ContextLoader |Root WebApplicationContext: initialization completed in 324 ms
2020-12-16 13:00:36 |INFO  |restartedMain |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-12-16 13:00:36 |INFO  |restartedMain |ExecutorConfigurationSupport.java:171 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2020-12-16 13:00:36 |INFO  |restartedMain |OptionalLiveReloadServer.java:58 |org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer |LiveReload server is running on port 35729
2020-12-16 13:00:36 |INFO  |restartedMain |DocumentationPluginsBootstrapper.java:147 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2020-12-16 13:00:36 |INFO  |restartedMain |DocumentationPluginsBootstrapper.java:150 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 2 custom documentation plugin(s)
2020-12-16 13:00:36 |INFO  |restartedMain |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2020-12-16 13:00:36 |INFO  |restartedMain |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2020-12-16 13:00:36 |INFO  |restartedMain |TomcatWebServer.java:204 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8110 (http) with context path ''
2020-12-16 13:00:36 |INFO  |restartedMain |StartupInfoLogger.java:61 |com.atguigu.guli.service.edu.ServiceEduApplication |Started ServiceEduApplication in 0.892 seconds (JVM running for 594.933)
2020-12-16 13:00:36 |INFO  |restartedMain |ConditionEvaluationDeltaLoggingListener.java:63 |org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener |Condition evaluation unchanged
2020-12-16 13:00:48 |INFO  |Thread-45 |ExecutorConfigurationSupport.java:208 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2020-12-16 13:00:48 |INFO  |restartedMain |StartupInfoLogger.java:55 |com.atguigu.guli.service.edu.ServiceEduApplication |Starting ServiceEduApplication on LAPTOP-MEI9QPII with PID 14840 (E:\deve_data\idea_data\workspace_idea\gulionline\guli-parent\service\service-edu\target\classes started by 19799 in E:\deve_data\idea_data\workspace_idea\gulionline\guli-parent)
2020-12-16 13:00:48 |INFO  |restartedMain |SpringApplication.java:655 |com.atguigu.guli.service.edu.ServiceEduApplication |The following profiles are active: dev
2020-12-16 13:00:48 |INFO  |restartedMain |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-12-16 13:00:48 |INFO  |restartedMain |TomcatWebServer.java:92 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8110 (http)
2020-12-16 13:00:48 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2020-12-16 13:00:48 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.27]
2020-12-16 13:00:48 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2020-12-16 13:00:48 |INFO  |restartedMain |ServletWebServerApplicationContext.java:284 |org.springframework.web.context.ContextLoader |Root WebApplicationContext: initialization completed in 364 ms
2020-12-16 13:00:49 |INFO  |restartedMain |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-12-16 13:00:49 |INFO  |restartedMain |ExecutorConfigurationSupport.java:171 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2020-12-16 13:00:49 |INFO  |restartedMain |OptionalLiveReloadServer.java:58 |org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer |LiveReload server is running on port 35729
2020-12-16 13:00:49 |INFO  |restartedMain |DocumentationPluginsBootstrapper.java:147 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2020-12-16 13:00:49 |INFO  |restartedMain |DocumentationPluginsBootstrapper.java:150 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 2 custom documentation plugin(s)
2020-12-16 13:00:49 |INFO  |restartedMain |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2020-12-16 13:00:49 |INFO  |restartedMain |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2020-12-16 13:00:49 |INFO  |restartedMain |TomcatWebServer.java:204 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 8110 (http) with context path ''
2020-12-16 13:00:49 |INFO  |restartedMain |StartupInfoLogger.java:61 |com.atguigu.guli.service.edu.ServiceEduApplication |Started ServiceEduApplication in 0.896 seconds (JVM running for 607.851)
2020-12-16 13:00:49 |INFO  |restartedMain |ConditionEvaluationDeltaLoggingListener.java:63 |org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener |Condition evaluation unchanged
2020-12-16 13:00:54 |INFO  |Thread-50 |ExecutorConfigurationSupport.java:208 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2020-12-16 13:00:55 |INFO  |restartedMain |StartupInfoLogger.java:55 |com.atguigu.guli.service.edu.ServiceEduApplication |Starting ServiceEduApplication on LAPTOP-MEI9QPII with PID 14840 (E:\deve_data\idea_data\workspace_idea\gulionline\guli-parent\service\service-edu\target\classes started by 19799 in E:\deve_data\idea_data\workspace_idea\gulionline\guli-parent)
2020-12-16 13:00:55 |INFO  |restartedMain |SpringApplication.java:655 |com.atguigu.guli.service.edu.ServiceEduApplication |The following profiles are active: dev
2020-12-16 13:00:55 |INFO  |restartedMain |PostProcessorRegistrationDelegate.java:330 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-12-16 13:00:55 |INFO  |restartedMain |TomcatWebServer.java:92 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8110 (http)
2020-12-16 13:00:55 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2020-12-16 13:00:55 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.27]
2020-12-16 13:00:55 |INFO  |restartedMain |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2020-12-16 13:00:55 |INFO  |restartedMain |ServletWebServerApplicationContext.java:284 |org.springframework.web.context.ContextLoader |Root WebApplicationContext: initialization completed in 373 ms
2020-12-16 13:00:56 |INFO  |restartedMain |PropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-12-16 13:00:56 |INFO  |restartedMain |ExecutorConfigurationSupport.java:171 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Initializing ExecutorService 'applicationTaskExecutor'
2020-12-16 13:00:56 |INFO  |restartedMain |OptionalLiveReloadServer.java:58 |org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer |LiveReload server is running on port 35729
2020-12-16 13:00:56 |INFO  |restartedMain |DocumentationPluginsBootstrapper.java:147 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Context refreshed
2020-12-16 13:00:56 |INFO  |restartedMain |DocumentationPluginsBootstrapper.java:150 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 2 custom documentation plugin(s)
2020-12-16 13:00:56 |INFO  |restartedMain |ApiListingReferenceScanner.java:41 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
